,synopsis,title
6345,"Three retired sea captains living together in genteel squalor. They scheme to improve their fortunes by having one of them solicit a bride through an ad in a Boston newspaper. The loser of a coin toss must get married and take in the other two as boarders. But upon the arrival of the Nantucket woman selected from the applicants, the captains get cold feet.",The Golden Boys
6346,"At a national park in Kenya, English game warden George Adamson and his wife, Joy, care for three orphaned lion cubs. After the two larger lions are shipped off to a zoo in the Netherlands, the smallest of the three, Elsa, stays with the couple. When Elsa is blamed for causing an elephant stampede in the nearby village, head warden John Kendall demands the young lion either be trained to survive in the wilds of the Serengeti or be sent to a zoo.",Born Free
6347,"In a quiet suburban town in the summer of 1958, two recently orphaned sisters are placed in the care of their mentally unstable Aunt Ruth. But Ruth's depraved sense of discipline will soon lead to unspeakable acts of abuse and torture that involve her young sons, the neighborhood children, and one 12-year-old boy whose life will be changed forever.",The Girl Next Door
6348,"On the mystical island of Themyscira, a proud and fierce warrior race of Amazons have raised a daughter of untold beauty, grace and strength: Princess Diana. When an Army fighter pilot, Steve Trevor, crash-lands on the island, the rebellious and headstrong Diana defies Amazonian law by accompanying Trevor back to civilization.",Wonder Woman
6349,"Wisecracking reporter Carl Kolchak investigates a string of gruesome murders in Las Vegas. It seems that each victim has been bitten in the neck and drained of all their blood. Kolchak is sure that it is a vampire. He's hot on the trail, but nobody believes him. His editor thinks he's nuts and the police think he's a hindrance in the investigation, so Kolchak takes matters into his own hand.",The Night Stalker
6350,"Kenya McQueen, a corporate lawyer, finds love in the most unexpected place when she agrees to go on a blind date with Brian Kelly, a sexy and free-spirited landscaper.",Something New
6351,The story centers on a small-town sheriff who witnesses what he believes is a kidnapping and rushes to rescue a woman. The kidnappers turn out to be FBI agents assigned to protect her and deliver her to a big Enron-type corruption trial in Chicago but are later found to be on the take and are villains who are bent on killing her,Witless Protection
6352,"Seemingly disparate portraits of people -- among them a single mother, a high school principal, and an ace student -- Distinctly American -- all affected by the proliferation of guns in American society.",American Gun
6353,"December 21, 2012: the end date of the sophisticated Long Count Calendar created by the ancient Maya in central America. Countless books and websites, magazine articles and newspaper headlines debate its meaning, with enthusiasts in two camps: those forecasting apocalypse the end of time and those who see a coming renewal, a rebirth of consciousness.",2012: Science or Superstition
6354,"Recorded live at London's Bloomsbury theatre, the posh-suited gagster unleashes his rapid-fire wit upon his audience, with jokes that are just too rude for TV.",Jimmy Carr: Comedian
6355,"Two salesmen trash a company truck on an energy drink-fueled bender. Upon their arrest, the court gives them a choice: do hard time or spend 150 service hours with a mentorship program. After one day with the kids, however, jail doesn't look half bad.",Role Models
6356,"Poor Charlie Brown. He can't fly a kite, and he always loses in baseball. Having his faults projected onto a screen by Lucy doesn't help him much either. Against the sage advice and taunting of the girls in his class, he volunteers for the class spelling bee...and wins!",A Boy Named Charlie Brown
6357,"Chronicles the rise and fall of the organised crime syndicate known as Murder, Incorporated, focusing on powerful boss Lepke and violent hit man Reles.","Murder, Inc."
6358,"The Grand is in the tradition of improvisational comedies like Best In Show and This Is Spinal Tap. The story is set in the world of professional poker and follows six players who reach the final table of the world’s second most famous high stakes tournament, the Grand Championship of Poker.",The Grand
6359,"American servicemen are still being held captive in Vietnam and it's up to one man to bring them home in this blistering, fast-paced action/adventure starring martial arts superstar Chuck Norris.Following a daring escape from a Vietnamese POW camp, Special Forces Colonel James Braddock (Norris) is on a mission to locate and save remaining MIAs.",Missing in Action
6360,"Weapons presents a series of brutal, seemingly random youth-related killings over the course of a weekend in a typical small town in America, and tragically reveals how they are all interrelated.",Weapons
6361,"When her beloved grandfather Charlie suddenly falls ill, twelve year-old Casey finds herself making some life or death decisions—and learning to live with the consequences.",Charlie & Me
6362,"A radical student is adopted by a group of young New Yorkers, serves as a catalyst to alter his and their lives. Gathering in a Manhattan apartment, the group of friends meet to discuss social mobility, Fourier's socialism and play bridge in their cocoon of upper-class society - until they are joined by a man with a critical view of their way of life.",Metropolitan
6363,"Obsession is a film about the threat of Radical Islam to Western civilization. Using unique footage from Arab television, it reveals an 'insider's view' of the hatred the Radicals are teaching, their incitement of global jihad, and their goal of world domination.",Obsession: Radical Islam's War Against the West
